"Favorito";"Azar";"Cot. Favorito(x)";"Alpha";"Beta"
"Equador";"Catar";"1.25";;
"Inglaterra";"Ira";"0.34";;
"Holanda";"Senegal";"0.69";;
"EUA";"Pais de Gales";"1.55";;
"Argentina";"Arabia Saudita";"0.2";;
"Dinamarca";"Tunisia";"0.5";;
"Polonia ";"Mexico";"1.83";;
"Franca";"Australia";"0.28";;
"Croacia";"Marrocos";"0.95";;
"Alemanha";"Japao";"0.43";;
"Espanha";"Costa Rica";"0.26";;
"Belgica";"Canada";"0.38";;
"Suica";"Camaroes";"0.84";;
"Uruguai";"Coreia do Sul";"0.92";;
"Portugal";"Gana";"0.52";;
"Brasil";"Servia";"0.49";;
"Pais de Gales";"Ira";"1.31";;
"Senegal";"Catar";"1.13";;
"Holanda";"Equador";"0.73";;
"Inglaterra";"EUA";"0.76";;
"Australia";"Tunisia";"1.8";;
"Polonia ";"Arabia Saudita";"0.68";;
"Franca";"Dinamarca";"1.01";;
"Argentina";"Mexico";"0.64";;
"Japao";"Costa Rica";"1.02";;
"Belgica";"Marrocos";"0.58";;
"Croacia";"Canada";"0.87";;
"Espanha";"Alemanha";"1.66";;
"Servia";"Camaroes";"1.01";;
"Coreia do Sul";"Gana";"1.66";;
"Brasil";"Suica";"0.53";;
"Portugal";"Uruguai";"1.15";;
"Senegal";"Equador";"1.58";;
"Holanda";"Catar";"0.35";;
"EUA";"Ira";"1.22";;
"Inglaterra";"Pais de Gales";"0.61";;
"Dinamarca";"Australia";"0.63";;
"Franca";"Tunisia";"0.27";;
"Mexico";"Arabia Saudita";"0.57";;
"Argentina";"Polonia";"0.71";;
"Marrocos";"Canada";"1.35";;
"Belgica";"Croacia";"0.96";;
"Alemanha";"Costa Rica";"0.34";;
"Espanha";"Japao";"0.33";;
"Portugal";"Coreia do Sul";"0.4";;
"Uruguai";"Gana";"0.82";;
"Brasil";"Camaroes";"0.36";;
"Suica";"Servia";"1.59";;
"OF1";"OF2";;;
"OF3";"OF4";;;
"OF5";"OF6";;;
"OF7";"OF8";;;
"OF9";"OF10";;;
"OF11";"OF12";;;
"OF13";"OF14";;;
"OF15";"OF16";;;
"QF1";"OF2";;;
"OF3";"OF4";;;
"OF5";"OF6";;;
"OF7";"OF8";;;
"SF1";"SF2";;;
"SF3";"SF4";;;
"FF1";"FF2";;;
"FF3";"FF4";;;
